,Riad,Max,Kush,Alicia
Riad,1.0,0.638564540714922,0.12106116365545812,0.08576582492841515
Max,0.638564540714922,1.0,0.06370544328073924,0.08750118717475387
Kush,0.12106116365545812,0.06370544328073924,1.0,0.6992937709535456
Alicia,0.08576582492841515,0.08750118717475386,0.6992937709535455,1.0
