start_s,start_hms,end_s,end_hms,duration_s,participants,label,num_turns
279.83,04:40,280.57,04:41,0.74,"Alicia, Kush",Alicia <-> Kush,2
280.85,04:41,281.5,04:42,0.65,"Alicia, Max, Riad","Alicia, Max, Riad (group)",2
280.96,04:41,281.65,04:42,0.69,"Alicia, Kush",Alicia <-> Kush,1
280.96,04:41,282.11,04:42,1.15,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",2
281.87,04:42,283.25,04:43,1.38,"Alicia, Kush",Alicia <-> Kush,3
282.85,04:43,283.12,04:43,0.27,"Kush, Max, Riad","Kush, Max, Riad (group)",2
284.53,04:45,284.8,04:45,0.27,"Alicia, Kush",Alicia <-> Kush,2
284.99,04:45,285.31,04:45,0.32,"Max, Riad",Max <-> Riad,1
285.26,04:45,286.21,04:46,0.95,"Alicia, Kush",Alicia <-> Kush,2
285.84,04:46,288.7,04:49,2.86,"Alicia, Max, Riad","Alicia, Max, Riad (group)",4
288.62,04:49,289.59,04:50,0.97,"Alicia, Kush",Alicia <-> Kush,2
289.4,04:49,290.07,04:50,0.67,"Max, Riad",Max <-> Riad,2
290.0,04:50,290.61,04:51,0.61,"Alicia, Kush",Alicia <-> Kush,2
290.58,04:51,294.95,04:55,4.37,"Max, Riad",Max <-> Riad,8
294.89,04:55,295.26,04:55,0.37,"Alicia, Kush, Max","Alicia, Kush, Max (group)",1
295.21,04:55,298.13,04:58,2.92,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",6
298.23,04:58,300.33,05:00,2.1,"Max, Riad",Max <-> Riad,3
300.45,05:00,301.33,05:01,0.88,"Alicia, Kush",Alicia <-> Kush,2
300.87,05:01,307.77,05:08,6.9,"Max, Riad",Max <-> Riad,8
307.2,05:07,308.42,05:08,1.22,"Alicia, Kush, Riad","Alicia, Kush, Riad (group)",3
308.71,05:09,309.14,05:09,0.43,"Max, Riad",Max <-> Riad,2
309.39,05:09,309.89,05:10,0.5,"Alicia, Kush",Alicia <-> Kush,2
309.99,05:10,312.36,05:12,2.37,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",4
311.52,05:12,311.97,05:12,0.45,"Alicia, Riad",Alicia <-> Riad,1
312.53,05:13,313.51,05:14,0.98,"Max, Riad",Max <-> Riad,2
313.32,05:13,313.58,05:14,0.26,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
313.72,05:14,314.12,05:14,0.4,"Max, Riad",Max <-> Riad,2
313.93,05:14,316.75,05:17,2.82,"Alicia, Kush",Alicia <-> Kush,4
316.36,05:16,318.3,05:18,1.94,"Max, Riad",Max <-> Riad,4
318.05,05:18,321.93,05:22,3.88,"Alicia, Kush",Alicia <-> Kush,2
320.15,05:20,320.38,05:20,0.23,"Max, Riad",Max <-> Riad,2
320.71,05:21,321.93,05:22,1.22,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",3
