,Riad,Max,Kush,Alicia
Riad,0.0,0.6326299731930097,0.6897246427834034,0.6259721944729486
Max,0.6326299731930097,0.0,0.6316916704177856,0.5958543941378593
Kush,0.6897246427834034,0.6316916704177856,0.0,0.6574033732215563
Alicia,0.6259721944729486,0.5958543941378593,0.6574033732215563,0.0
