speaker,start_s,end_s,duration_s
Max,85.43,85.69,0.26
Alicia,85.52,86.51,0.99
Kush,85.59,86.27,0.68
Max,86.05,87.83,1.78
Riad,86.06,86.77,0.71
Alicia,87.78,88.26,0.48
Kush,87.79,88.16,0.37
Max,88.04,88.77,0.73
Riad,90.14,90.5,0.36
Alicia,90.25,90.52,0.27
Alicia,90.69,92.24,1.55
Riad,90.74,91.01,0.27
Max,90.77,91.01,0.24
Max,91.22,91.74,0.52
Kush,91.25,94.15,2.9
Riad,91.76,94.88,3.12
Max,91.9,92.45,0.55
Alicia,93.54,94.63,1.09
Max,93.99,94.78,0.79
Alicia,94.81,95.31,0.5
Kush,94.84,97.01,2.17
Max,95.31,96.63,1.32
Riad,95.33,97.48,2.15
Alicia,95.5,97.45,1.95
Max,97.05,98.66,1.61
Kush,97.19,97.61,0.42
Alicia,97.64,98.56,0.92
Riad,97.71,98.09,0.38
Kush,98.01,99.37,1.36
Riad,98.54,99.87,1.33
Max,98.84,99.08,0.24
Kush,99.55,99.88,0.33
Alicia,99.94,102.01,2.07
Riad,100.05,100.65,0.6
Max,100.44,101.16,0.72
Kush,100.44,101.91,1.47
Riad,100.88,102.44,1.56
Max,102.02,102.3,0.28
Kush,102.25,102.74,0.49
Alicia,102.27,102.88,0.61
Riad,102.75,103.23,0.48
Max,102.85,103.33,0.48
Alicia,103.09,103.44,0.35
Kush,103.38,103.93,0.55
Alicia,103.86,104.47,0.61
Riad,103.94,104.42,0.48
Max,104.02,104.75,0.73
Kush,104.74,106.59,1.85
Riad,105.24,107.1,1.86
Alicia,105.46,106.2,0.74
Max,106.1,106.73,0.63
Alicia,106.38,106.61,0.23
Alicia,106.86,107.16,0.3
Max,106.89,107.12,0.23
Kush,107.15,108.76,1.61
Max,107.35,107.68,0.33
Alicia,107.43,107.64,0.21
Riad,107.66,109.35,1.69
Max,107.94,108.66,0.72
Alicia,108.4,109.0,0.6
Max,108.95,110.67,1.72
Kush,109.14,110.46,1.32
Alicia,109.24,110.16,0.92
Riad,109.64,110.96,1.32
Alicia,111.1,114.0,2.9
Max,111.63,111.89,0.26
Kush,111.66,112.85,1.19
Max,112.13,112.38,0.25
Riad,112.21,113.05,0.84
Max,112.59,113.11,0.52
Max,113.28,113.6,0.32
Kush,113.76,114.1,0.34
Riad,114.22,114.6,0.38
Alicia,114.71,116.1,1.39
Kush,115.05,115.75,0.7
Riad,115.53,116.28,0.75
Max,115.74,116.01,0.27
Alicia,116.26,116.92,0.66
Kush,116.34,117.0,0.66
Riad,116.83,117.54,0.71
Kush,117.28,117.92,0.64
Alicia,117.57,117.9,0.33
Riad,117.73,118.51,0.78
Max,118.01,118.31,0.3
Kush,118.53,119.61,1.08
Alicia,118.56,119.37,0.81
Riad,119.01,122.04,3.03
Max,119.09,119.95,0.86
Kush,119.95,120.38,0.43
Alicia,120.36,121.05,0.69
Kush,120.55,121.52,0.97
Max,121.35,121.64,0.29
Alicia,121.42,122.46,1.04
Max,121.83,122.43,0.6
Kush,122.58,123.38,0.8
Riad,122.97,123.89,0.92
Alicia,123.66,124.58,0.92
Kush,123.71,124.22,0.51
Riad,124.13,125.21,1.08
Max,124.64,125.06,0.42
Alicia,125.46,125.76,0.3
Kush,125.7,125.91,0.21
Max,126.01,126.26,0.25
Kush,126.15,126.81,0.66
Alicia,126.21,126.64,0.43
Max,126.71,127.17,0.46
Riad,127.07,127.3,0.23
Alicia,127.1,127.86,0.76
Max,127.82,128.36,0.54
Kush,127.96,130.25,2.29
Alicia,128.23,129.22,0.99
Riad,128.85,132.97,4.12
Max,128.91,129.63,0.72
Alicia,129.52,129.75,0.23
Alicia,130.05,131.32,1.27
Kush,130.82,131.05,0.23
Max,130.96,131.49,0.53
Kush,131.21,131.5,0.29
Kush,131.67,132.26,0.59
Alicia,131.72,132.48,0.76
Kush,132.65,133.04,0.39
Alicia,132.68,134.32,1.64
Riad,133.13,134.25,1.12
Kush,133.2,133.73,0.53
Max,133.36,134.83,1.47
Kush,134.37,135.2,0.83
Alicia,134.63,135.43,0.8
Riad,134.86,135.77,0.91
Max,135.24,135.94,0.7
Kush,135.41,136.9,1.49
Alicia,135.72,136.12,0.4
Riad,136.17,137.41,1.24
Alicia,136.95,137.2,0.25
Max,136.99,137.71,0.72
Kush,137.92,138.34,0.42
Alicia,138.13,138.33,0.2
Riad,138.41,138.84,0.43
Max,138.45,138.99,0.54
Kush,138.71,139.6,0.89
Alicia,138.88,139.69,0.81
Max,139.22,140.24,1.02
Riad,139.42,140.17,0.75
Max,140.44,140.75,0.31
Riad,140.8,141.02,0.22
Alicia,142.54,142.92,0.38
Kush,142.55,143.39,0.84
Alicia,143.14,143.36,0.22
Riad,143.17,143.44,0.27
Max,143.17,143.44,0.27
Riad,143.65,143.86,0.21
Max,143.66,144.28,0.62
Kush,143.98,144.45,0.47
Max,144.56,144.97,0.41
Kush,145.05,146.99,1.94
Alicia,145.07,145.51,0.44
Max,145.6,146.01,0.41
Riad,146.24,147.01,0.77
Max,146.24,147.03,0.79
Alicia,146.48,147.16,0.68
Max,147.2,149.25,2.05
Riad,147.21,147.62,0.41
Kush,147.66,148.06,0.4
Alicia,147.66,148.06,0.4
Riad,148.08,149.38,1.3
Kush,148.52,149.66,1.14
Alicia,148.52,149.63,1.11
